第1条评论:   “满纸荒唐中窥见满脸沧桑 / 触到神经就要懂得鼓掌

第2条评论:   白素贞受观音指点下凡寻找有缘人。白素贞：“菩萨，我要怎么才能找到他？”观音：“只需记住他忠厚善良、外表俊秀、其貌不凡、才气凌人、歌声动听，姓许即可。”数日，白素贞终于遇到一个善良的许姓公子，上前激动的问道：“公子是许仙么？”公子答：“姑娘，你认错人了，在下许嵩。”

第3条评论:   一个医科大学毕业立志当厨师的程序员出了新专辑啦

第4条评论:   我的心愿是世界和平哦

第5条评论:   曲风较之前有些变化了，嵩哥即将而立，也陪了我们十年了，感动，他从一个嘻哈批判玩音乐的大男孩长成了男人，我也褪去了初高中的青涩即将大学毕业步入社会。

第6条评论:   入鞘还家你莞尔沏来春涧草茶

第7条评论:   终于知道许嵩为什么学做菜了。因为还没有找到那个上得厅堂下得厨房的姑娘。你们谁愿意做那位姑娘。为我嵩洗手作羹汤。

第8条评论:   雨洗东坡月色清

第9条评论:   三十年的阅历。十年的音符。两年的沉淀。俗的无畏，雅的轻狂。雅俗共赏。

第10条评论:   寒雨画梦染青衫

第11条评论:   十年许嵩，青年晚报，雅俗共赏，初心不变，始终如一。

第12条评论:   遇见橙色温暖

第13条评论:   许嵩你要为了你那句

第14条评论:   上得厅堂也下得厨房，就像我一直在找的姑娘，而努力的姑娘负责啊。

第15条评论:    一批人头像换了许嵩最新微博自拍。 

第16条评论:    一批人昵称换了青年晚报

第17条评论:    一批人网易艾迪换了许嵩要找的那位姑娘。  

第18条评论:    一批人听着雅俗共赏喜极而泣。   

第19条评论:     一批人凌晨循环播放打榜。这样的

第20条评论:   。有爱许嵩的你们真好。

第21条评论:   海马研究员

第22条评论:   这也算是许嵩的征婚曲啊

第23条评论:   只留一盏灯

第24条评论:   宇宙大魔咖

第25条评论:   歌听了很多，为什么娱乐圈都不出现？

第26条评论:   许嵩北京演唱会上说的话“有朋友跟我说，你总是埋头在写歌、创作、发专辑，也不去融人娱乐圈，娱乐一下，光靠纯粹的做音乐是没有出路的。但是今晚你看这万人体育馆座无虚席，你们就帮我证明了，就光是埋头写歌，做音乐一样很有出路。”

第27条评论:   流风回雪

第28条评论:   失物招领处没有

第29条评论:   寻雾启示

第30条评论:   ，哲学书架上没有

第31条评论:   苏格兰没有底

第32条评论:   ，茶馆里没有

第33条评论:   不如吃茶去

第34条评论:   ，报亭没有

第35条评论:   青年晚报

第36条评论:   ，以为只是一场

第37条评论:   梦游计

第38条评论:   ，没想到套路都是嵩哥

第39条评论:   自定义

第40条评论:   的肉嵩包

第41条评论:   小雅俗

第42条评论:   万楼主

第43条评论:   我们学校今天的广播放了肉嵩的雅俗共赏哟，是我点哒，刚好下午是我广播，和我一起广播的男生也喜欢许嵩耶，我们俩在广播室里跟唱啦，高兴得飞起

第44条评论:   一切都是最好的安排

第45条评论:   后会有

第46条评论:   寻宝游戏

第47条评论:   或许，听到这首歌，你觉得没以前的歌那么入耳了，能够理解，但是他不想做重复的音乐，即使他可以写出像有何不可那样的歌，但已无当时的心境。许嵩做音乐向来随心。

第48条评论:   因为许嵩

第49条评论:   我真的觉得我喜欢许嵩是件超酷的事

第50条评论:   虽然身边常常有人不理解，但是我坚持了这么久，真的觉得自己超酷

第51条评论:   许嵩值得我去坚持，我相信未来他也不会让我失望

第52条评论:   王昊然

第53条评论:   这是我在网易云看见过的唯一一首歌评论

第54条评论:   这个昵称已经早被我占用

第55条评论:   肥宅小猪猪

第56条评论:   尤猪利

第57条评论:   俺还第一次在云村看到

第58条评论:   这个评论数

第59条评论:   一岁时就很美

第60条评论:   万冲呀

第61条评论:   杜老板

第62条评论:   爱吃提拉米苏的小嵩鼠

第63条评论:   紫檀玉凊

第64条评论:   啊？许嵩曾经是学医的啊？

第65条评论:   你不是嵩鼠呀 嵩哥是安徽医科大学的哦，公卫专业，我是她校友。很多安医大学生都是嵩哥的小迷弟迷妹呢

第66条评论:   多多比耶

第67条评论:   这么多评论

第68条评论:   没烤熟的太阳

第69条评论:   不怎么精致的猪猪女孩

第70条评论:   今天下午我买了点吃的回家，姥姥看见了，问我吃了没有，我以为她也要吃，我就说我吃了 结果她来了句 那就给你妹妹留着吧

第71条评论:   我妹是我表妹

第72条评论:   我中午就吃了一碗粉，到下午一点东西都没吃 我想当晚饭的 所以到现在我还在饿肚子 睡觉吧，睡了就不饿了

第73条评论:   每一件事情都可以当作是一个教训，教会我们下次应该怎么做，善良的人是最可爱的

第74条评论:   我的信仰是许嵩呀

第75条评论:   日嵩哥的天龙八部端游新主题曲

第76条评论:   话说来围观

第77条评论:   雅俗共赏

第78条评论:   的路人朋友们听了嵩哥之前和天龙八部合作的

第79条评论:   半城烟沙

第80条评论:   了吗？前奏就沦陷的那种国风歌曲哦，超级好听，听了的就坐等嵩哥天龙第三曲

第81条评论:   你死哪儿去了

第82条评论:   喜欢许嵩

第83条评论:   年了，从不后悔。

第84条评论:   错过整个夏天

第85条评论:   怕不怕

第86条评论:   从初一到现在大三了，已经

第87条评论:   我考取嵩哥以前所在的大学，安徽医科大学，我会永远支持你的

第88条评论:   小小嵩鼠，我也会加油的

第89条评论:   只与同好赏风雅

第90条评论:   嵩叔你值得更好的

第91条评论:   山海的山

第92条评论:   琼玉熙

第93条评论:   有东西，但还少一些歇斯底里，这歌毕竟不是哗众取宠，但

第94条评论:   的评论

第95条评论:   你们都是谁派来的猴子猴孙？过了，略丑，我也来让你们更丑。

第96条评论:   多多大笑

第97条评论:   刚刚好

第98条评论:   最爱许嵩和老薛

第99条评论:   我最搞不懂的就是，为啥好多薛和许两家的粉丝互看多方不顺眼。

第100条评论:   地上听歌王

第101条评论:   又上热度榜啦？

第102条评论:   我听了其他歌手的翻唱，整个人都受不了了。感觉是在作践自己的耳朵。还是原唱好听。

第103条评论:   枫桥夜泊儿

第104条评论:   哪个粉丝刷这么多评论？土豪。

第105条评论:   百万评论可不是粉丝说刷就刷出来的哦，只是这部作品太优秀了

第106条评论:   先生不穿秋裤

第107条评论:   玩那么久网易第一次见百万评论

第108条评论:   这首歌三年前就接近

第109条评论:   一定要考

第110条评论:   不记得了，是外文

第111条评论:   外歌只有

第112条评论:   评论最多，不过也只有

第113条评论:   多万。

第114条评论:   被选召的坏孩子

第115条评论:   怎么就突然

第116条评论:   余生再也无妳

第117条评论:   在安医大读书，但是不是学医的。

第118条评论:   观云途

第119条评论:   牛 百万评论厉害

第120条评论:   醉倚清风入梦

第121条评论:   所以 路人多

第122条评论:   本来这首歌评论前年就是

第123条评论:   ，去年就是

第124条评论:   ，歌迷辛辛苦苦评论出来后，路人就来围观，出现些水评论，网易云也不断在删水评论，不然评论更多咯。许嵩的大多数作品很有深度哦，他可不是像娱乐圈那种为了迎合大众光写苦情歌的人。推荐

第125条评论:   ，一字一句意在言外，看

第126条评论:   耀君解析。

第127条评论:   不要错过了月亮

第128条评论:   周杰伦的晴天 不过已经下架了

第129条评论:   晴天已经是过去式了

第130条评论:   软塞斯

第131条评论:   你要加油做音乐

第132条评论:   你会笑嬷

第133条评论:   万必须

第134条评论:   只为未来的甜

第135条评论:   居然。。。。。。免费下载

第136条评论:   我嵩不对嵩迷收费，他亲口说的。

第137条评论:   这热度怎么又上来了？不愧是许嵩

第138条评论:   现在怎么到处都是雅俗共赏，

第139条评论:   听原唱熏陶耳朵哈哈哈

第140条评论:   断了情铁了心

第141条评论:   十年许嵩雅俗共赏

第142条评论:   这是我用网易云以来第一次看见破

